what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1328634449047
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1328634449048
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1328634449050
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1328634449051
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1328634449052
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1328634449052
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1328634449054
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1328634449062
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1328634449074
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1328634449074
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1328634449076
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1328634449077
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1328634449078
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1328634449079
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1328634449082
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1328634449083
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1328634449085
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1328634449086
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1328634449088
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1328634449089
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1328634449091
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1328634449092
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1328634449092
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1328634449093
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1328634449094
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1328634449094
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1328634449095
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1328634449096
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1328634449099
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328634449101
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1328634449105
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328634449106
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1328634449108
started,bundle,com.trolltech.qtcppproject,1.6.1,"com.trolltech.qtcppproject",1328634449109
started,bundle,com.python.pydev.analysis,1.6.1.2010080312,"com.python.pydev.analysis",1328634449111
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1328634449112
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1328634449121
started,bundle,org.python.pydev,1.6.1.2010080312,"org.python.pydev",1328634449121
started,bundle,org.python.pydev.core,1.6.1.2010080312,"org.python.pydev.core",1328634449122
os,sysinfo,,,"linux",1328634449130
arch,sysinfo,,,"x86",1328634449130
ws,sysinfo,,,"gtk",1328634449130
locale,sysinfo,,,"en_CA",1328634449130
processors,sysinfo,,,"2",1328634449131
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328634449131
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1328634449131
java.specification.name,sysinfo,,,"Java Platform API Specification",1328634449131
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328634449131
java.specification.version,sysinfo,,,"1.6",1328634449131
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328634449131
java.version,sysinfo,,,"1.6.0_26",1328634449131
java.vm.info,sysinfo,,,"mixed mode, sharing",1328634449131
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1328634449131
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328634449131
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328634449131
java.vm.specification.version,sysinfo,,,"1.0",1328634449131
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328634449131
java.vm.version,sysinfo,,,"20.1-b02",1328634449131
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328634449328
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328634449339
closed,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1328634449358
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328634467537
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328634532101
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328634534073
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328634536112
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328634540117
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201006141710,"org.eclipse.cdt.debug.mi.ui",1328634540733
stopped,bundle,com.trolltech.qtcppproject,1.6.1,"com.trolltech.qtcppproject",1328634540740
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.0.201006141710,"org.eclipse.cdt.debug.mi.core",1328634540743
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1328634540745
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.search",1328634540750
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.gdb.ui",1328634540753
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.0.201006141710,"org.eclipse.cdt.dsf.ui",1328634540760
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201006141710,"org.eclipse.cdt.gdb.ui",1328634540762
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201006141710,"org.eclipse.cdt.dsf.gdb",1328634540768
stopped,bundle,org.eclipse.linuxtools.callgraph.launch,0.0.1.201006152250,"org.eclipse.linuxtools.callgraph.launch",1328634540777
stopped,bundle,org.eclipse.linuxtools.profiling.launch,0.3.0.201006152250,"org.eclipse.linuxtools.profiling.launch",1328634540779
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201006141710,"org.eclipse.cdt.launch",1328634540781
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201006141710,"org.eclipse.cdt.debug.ui",1328634540783
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201006141710,"org.eclipse.cdt.debug.ui.memory.traditional",1328634540786
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201006141710,"org.eclipse.cdt.dsf",1328634540793
stopped,bundle,org.eclipse.linuxtools.callgraph,0.0.1.201006152250,"org.eclipse.linuxtools.callgraph",1328634540794
stopped,bundle,org.eclipse.linuxtools.callgraph.core,0.0.1.201006152250,"org.eclipse.linuxtools.callgraph.core",1328634540796
stopped,bundle,org.eclipse.linuxtools.profiling.ui,0.3.0.201006152250,"org.eclipse.linuxtools.profiling.ui",1328634540797
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201006141710,"org.eclipse.cdt.debug.core",1328634540806
stopped,bundle,de.innot.avreclipse.core,2.3.4.20100807PRD,"de.innot.avreclipse.core",1328634540808
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.ui",1328634540813
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201006141710,"org.eclipse.cdt.make.ui",1328634540815
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.gnu.ui",1328634540821
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.0.201006141710,"org.eclipse.cdt.managedbuilder.core",1328634540824
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201006141710,"org.eclipse.cdt.make.core",1328634540825
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.2.v20100608-0100-e3x,"org.eclipse.cdt.mylyn.ui",1328634540828
stopped,bundle,org.eclipse.linuxtools.cdt.libhover,1.0.3.201006152250,"org.eclipse.linuxtools.cdt.libhover",1328634540828
stopped,bundle,org.eclipse.cdt.ui,5.2.0.201006141710,"org.eclipse.cdt.ui",1328634540829
stopped,bundle,org.eclipse.cdt.core,5.2.0.201006141710,"org.eclipse.cdt.core",1328634540829
