longitude; latitude; avgY; stdY; avgX; stdX; avgZ; stdZ; 
-5.000000; -5.000000; 606.370000; 12.092785; 656.260000; 11.366813; 1006.370000; 9.352421;
-5.000000; -3.888889; 602.850000; 77.236666; 662.020000; 11.588901; 1006.550000; 9.717604;
-5.000000; -2.777778; 605.610000; 54.701374; 668.080000; 12.845374; 1008.080000; 9.958175;
-5.000000; -1.666667; 604.380000; 15.047252; 674.810000; 12.317922; 1009.190000; 8.725552;
-5.000000; -0.555556; 605.680000; 75.751438; 680.180000; 12.688482; 1009.530000; 8.717166;
-5.000000; 0.555556; 614.440000; 63.858638; 686.500000; 10.446110; 1008.200000; 9.485768;
-5.000000; 1.666667; 608.020000; 43.497354; 693.950000; 10.781929; 1009.380000; 9.259208;
-5.000000; 2.777778; 602.230000; 72.070091; 697.950000; 11.084045; 1007.770000; 8.882914;
-5.000000; 3.888889; 603.760000; 61.755484; 706.260000; 11.184965; 1007.710000; 9.732062;
-5.000000; 5.000000; 599.420000; 73.148690; 711.420000; 10.526714; 1008.730000; 9.871759;
-3.888889; 5.000000; 610.620000; 16.759005; 713.200000; 12.073847; 1009.220000; 8.723103;
-3.888889; 3.888889; 611.450000; 34.698812; 705.210000; 11.379847; 1009.230000; 8.963287;
-3.888889; 2.777778; 610.050000; 57.980208; 699.410000; 10.855427; 1010.610000; 9.041872;
-3.888889; 1.666667; 608.170000; 64.411721; 692.380000; 10.428961; 1009.440000; 9.224824;
-3.888889; 0.555556; 616.470000; 57.100736; 685.980000; 10.530360; 1007.870000; 10.132112;
-3.888889; -0.555556; 611.100000; 61.274758; 679.970000; 9.456391; 1009.210000; 8.512967;
-3.888889; -1.666667; 610.830000; 46.760740; 673.430000; 10.771507; 1008.210000; 9.337980;
-3.888889; -2.777778; 611.040000; 12.013393; 668.520000; 10.467342; 1008.080000; 8.902026;
-3.888889; -3.888889; 612.280000; 74.485858; 664.060000; 10.867262; 1006.450000; 8.689219;
-3.888889; -5.000000; 610.310000; 61.006821; 658.900000; 10.058917; 1006.420000; 8.744615;
-2.777778; -5.000000; 616.950000; 11.019152; 655.170000; 10.952658; 1006.470000; 10.046815;
-2.777778; -3.888889; 621.210000; 54.157700; 659.490000; 11.762374; 1006.910000; 8.083022;
-2.777778; -2.777778; 619.610000; 34.375201; 666.820000; 10.407243; 1007.680000; 8.642016;
-2.777778; -1.666667; 616.430000; 9.762074; 673.820000; 10.674599; 1009.980000; 9.180546;
-2.777778; -0.555556; 610.280000; 57.068642; 678.390000; 10.996689; 1009.890000; 9.722301;
-2.777778; 0.555556; 614.610000; 76.102920; 684.980000; 11.734418; 1009.940000; 9.065218;
-2.777778; 1.666667; 616.950000; 11.894634; 692.450000; 12.556438; 1010.840000; 9.810034;
-2.777778; 2.777778; 623.180000; 74.092268; 697.110000; 10.414534; 1009.690000; 9.368651;
-2.777778; 3.888889; 616.550000; 60.907012; 704.930000; 12.024600; 1009.720000; 8.924011;
-2.777778; 5.000000; 618.260000; 81.631300; 711.550000; 11.480660; 1007.940000; 8.476730;
-1.666667; 5.000000; 619.830000; 13.815564; 710.130000; 11.290163; 1008.520000; 8.860855;
-1.666667; 3.888889; 626.780000; 75.021556; 705.390000; 11.062627; 1009.390000; 9.313719;
-1.666667; 2.777778; 620.570000; 55.884125; 699.730000; 11.705869; 1009.100000; 8.764598;
-1.666667; 1.666667; 621.350000; 64.175324; 692.890000; 9.717105; 1009.300000; 9.218449;
