longitude,latitude,avgT,stdT,avgA,stdA,avgB,stdB,avgC,stdC,avgT,stdT,avgX,stdX,avgY,stdY,avgZ,stdZ
-90.0439453125,11.0400390625,49185.8,0.748331477355,333.4,6.0695963622,418.3,14.3530484567,493.4,3.29241552663,31618.3,18212.3614836,539.0,11.2071405809,735.8,4.70744091838,533.1,9.64831591523
-90.0439453125,18.3715820312,49198.2,0.748331477355,333.3,7.1,436.0,27.8460050995,493.6,3.82622529394,33699.7,18202.0690255,542.4,5.73061951276,738.6,7.5524830354,527.9,11.3529731789
-90.0439453125,25.6909179688,49211.4,0.663324958071,331.3,5.78013840665,448.0,39.5752447876,493.0,2.72029410175,34868.1,19613.2648605,548.0,14.8727939541,734.7,5.40462764675,519.6,23.0225975945
-90.0439453125,33.0615234375,49224.8,0.748331477355,332.3,2.2825424421,419.9,10.1730034896,492.3,0.781024967591,35387.7,16036.9050633,542.8,3.5721142199,736.9,2.98161030318,529.5,6.83008052661
-90.0439453125,40.3857421875,49238.8,0.748331477355,333.8,7.48064168371,416.9,9.26768579528,494.4,3.46987031458,32805.5,18810.2509141,542.6,7.63151361134,735.7,7.96303962065,530.9,12.144546101
-90.0439453125,47.7587890625,49252.3,0.640312423743,332.5,3.47131099154,415.7,4.45084261685,493.4,3.13687742827,37892.2,18660.2445525,543.5,4.41021541424,737.0,3.49284983931,528.4,9.07964757025
-90.0439453125,55.1147460938,49264.9,0.7,332.0,6.57267069006,447.6,40.2149226034,492.7,2.23830292856,32537.7,17954.1724513,545.8,7.74338427304,737.8,7.41350119714,522.8,13.24990566
-90.0439453125,62.4243164062,49277.9,0.7,331.8,2.67581763205,421.0,12.2800651464,493.1,2.11896201004,28676.5,17957.3639226,546.1,1.57797338381,735.7,2.32594066992,524.5,7.60591874792
-90.0439453125,69.7924804688,49290.3,0.640312423743,331.2,5.99666574023,447.7,36.8701776508,493.0,2.19089023002,36392.9,18767.0130412,548.9,6.37887137353,733.5,8.12711510931,520.3,12.9309705746
-90.0439453125,77.12890625,49303.1,0.7,333.5,3.0083217913,425.2,18.2252571998,492.8,1.93907194297,31661.2,18129.5231531,545.0,7.73304597167,736.7,4.81767578818,525.8,6.73498329619
-90.0439453125,84.4946289062,49315.4,0.663324958071,331.0,3.74165738677,464.7,53.0038677834,493.0,2.64575131106,38579.9,18662.3077054,549.6,17.2406496397,736.0,5.0199601592,512.1,19.8264974214
-90.0439453125,91.8212890625,49328.5,0.80622577483,331.1,5.8386642308,417.3,6.88549199404,493.2,2.27156333832,40657.6,17863.7635631,543.2,4.72863616701,735.9,6.2040309477,519.9,10.2318131336
-90.0439453125,99.1650390625,49343.4,0.663324958071,332.6,3.63868107973,417.1,6.54904573201,493.8,3.73630833845,39095.9,18662.3077054,545.9,4.57055795281,735.2,3.24961536185,519.2,8.42377587546
-90.0439453125,106.516113281,49356.1,0.7,331.6,3.44093010682,432.7,24.9080308334,493.8,4.28485705713,34507.5,17946.3282888,545.8,8.66948672068,736.1,5.20480547187,515.0,9.40212741883
-90.0439453125,113.862304688,49368.7,0.640312423743,332.4,5.51724568965,435.1,25.2287534373,493.9,3.72692903072,29067.0,18524.7671024,546.8,6.01331855135,731.9,7.23118247592,516.2,13.7680790236
-90.0439453125,121.19140625,49381.7,0.640312423743,333.2,3.05941170816,420.8,13.3401649165,492.9,2.84429253067,33269.1,18100.1989075,544.5,6.81542368456,733.2,4.6432747065,518.5,10.229858259
-90.0439453125,128.564453125,49393.9,0.7,333.1,3.53411940941,439.5,31.3249102154,493.5,4.08044115262,32286.2,18122.8017359,545.1,14.3558350506,735.8,4.46766158074,511.1,16.0527256253
-90.0439453125,135.893554688,49406.9,0.7,331.6,2.41660919472,449.4,38.0977689635,493.3,2.86530975638,28432.5,18172.1246708,545.7,4.71274866718,733.7,3.49428104193,508.4,7.24154679609
-90.0439453125,143.239746094,49419.8,0.748331477355,333.1,1.86815416923,431.0,20.8901890848,493.2,2.03960780544,31056.0,18901.1214905,541.0,4.62601340249,731.9,2.80891438104,513.9,3.3
-90.0439453125,150.615234375,49432.3,0.640312423743,331.6,5.91945943478,438.0,25.023988491,493.2,2.85657137142,32216.2,18544.0483272,543.6,7.82559901861,737.0,7.23878442834,511.3,8.3671978583
-90.0439453125,157.9296875,49445.1,0.7,331.8,4.6,426.6,21.6757929497,493.3,2.23830292856,34113.4,18674.7215251,540.7,8.69540108333,738.3,6.66408283262,509.0,12.7200628929
-90.0439453125,165.317382812,49457.3,0.640312423743,331.9,4.25323406363,446.4,34.6589093885,492.6,2.65329983228,34340.6,18752.4876654,540.8,12.8980618699,737.2,5.32541078228,508.2,17.6340579561
-90.0439453125,172.639160156,49470.4,0.663324958071,331.9,2.46779253585,416.0,3.31662479036,492.4,1.74355957742,35118.7,19963.6355209,535.6,3.16859590355,738.0,5.34789678285,513.1,4.4821869662
-90.0439453125,179.970703125,49483.2,0.748331477355,332.0,3.1304951685,424.3,16.6736318779,493.8,3.4292856399,33201.7,18917.2873639,533.6,4.02988833592,736.7,2.96816441593,512.1,5.62938717802
-84.4213867188,-180.017089844,50154.1,0.7,333.6,5.98665181884,395.5,25.3978345534,493.6,3.07245829915,30058.6,18085.3110794,529.1,10.3677384226,735.2,5.01597448159,495.6,19.7038067388
