longitude; latitude; avgY; stdY; avgX; stdX; avgZ; stdZ; 
-45.000000; -135.000000; 401.050000; 21.678260; 542.290000; 21.557672; 518.030000; 20.359127;
-45.000000; -129.489796; 400.210000; 78.876491; 528.390000; 21.491786; 534.100000; 20.385428;
-45.000000; -123.979592; 406.250000; 47.766345; 514.120000; 20.488124; 551.610000; 17.943736;
-45.000000; -118.469388; 400.120000; 68.910904; 503.140000; 20.566728; 568.580000; 19.124356;
-45.000000; -112.959184; 412.560000; 71.565372; 494.530000; 19.332526; 584.230000; 20.819501;
-45.000000; -107.448980; 396.890000; 42.171103; 482.320000; 20.516502; 610.910000; 16.321947;
-45.000000; -101.938776; 399.190000; 59.057017; 477.590000; 19.943402; 630.860000; 18.511269;
-45.000000; -96.428571; 407.610000; 59.381985; 474.500000; 20.457149; 651.500000; 19.763501;
-45.000000; -90.918367; 402.180000; 19.227180; 473.580000; 17.553485; 676.970000; 18.153918;
-45.000000; -85.408163; 405.960000; 60.158867; 472.890000; 17.331524; 698.970000; 15.263646;
-45.000000; -79.897959; 405.410000; 59.272712; 473.590000; 18.740166; 720.740000; 16.124904;
-45.000000; -74.387755; 400.290000; 17.791324; 480.840000; 19.173171; 738.880000; 19.144469;
-45.000000; -68.877551; 395.710000; 70.624958; 482.870000; 17.007815; 762.400000; 16.731389;
-45.000000; -63.367347; 399.950000; 70.580762; 495.940000; 18.129066; 780.600000; 18.397409;
-45.000000; -57.857143; 402.640000; 73.972766; 506.000000; 17.612553; 799.840000; 14.626474;
-45.000000; -52.346939; 400.340000; 72.799603; 516.720000; 15.861191; 818.090000; 14.067726;
-45.000000; -46.836735; 404.430000; 44.953007; 527.510000; 17.487944; 837.510000; 14.703463;
-45.000000; -41.326531; 404.640000; 84.470127; 544.450000; 16.797892; 851.530000; 18.815669;
-45.000000; -35.816327; 396.230000; 95.306826; 563.190000; 16.983471; 865.280000; 14.590075;
-45.000000; -30.306122; 406.180000; 36.524623; 575.720000; 18.218139; 880.240000; 14.376693;
-45.000000; -24.795918; 404.610000; 79.383724; 596.640000; 20.650786; 889.170000; 17.976446;
-45.000000; -19.285714; 407.100000; 67.212388; 615.360000; 20.062790; 899.390000; 16.028948;
-45.000000; -13.775510; 400.910000; 44.383793; 637.840000; 17.820497; 904.380000; 13.425274;
