longitude; latitude; x; y; z;
-85.208333; 79.897959; 585.941176; 378.718750; 400.911765;
-85.208333; 85.408163; 592.029412; 381.352941; 402.656250;
-85.208333; 90.918367; 588.147059; 386.500000; 400.694444;
-85.208333; 96.428571; 591.303030; 389.911765; 402.545455;
-85.208333; 101.938776; 588.935484; 386.588235; 399.571429;
-85.208333; 107.448980; 591.400000; 384.000000; 398.466667;
-85.208333; 112.959184; 590.529412; 391.029412; 400.281250;
-85.208333; 118.469388; 589.441176; 391.838710; 401.571429;
-85.208333; 123.979592; 588.088235; 384.121212; 403.848485;
-85.208333; 129.489796; 589.485714; 386.806452; 400.088235;
-85.208333; 135.000000; 591.285714; 386.593750; 400.424242;
-80.416667; -135.000000; 593.156250; 395.941176; 402.823529;
-80.416667; -129.489796; 589.571429; 392.470588; 402.645161;
-80.416667; -123.979592; 590.212121; 397.212121; 400.617647;
-80.416667; -118.469388; 590.968750; 404.428571; 396.303030;
-80.416667; -112.959184; 590.685714; 397.161290; 399.647059;
-80.416667; -107.448980; 591.843750; 265.363636; 391.742857;
-80.416667; -101.938776; 590.468750; 146.857143; 393.696970;
-80.416667; -96.428571; 594.171429; 153.176471; 395.935484;
-80.416667; -90.918367; 593.085714; 145.937500; 393.878788;
-80.416667; -85.408163; 589.064516; 229.828571; 396.588235;
-80.416667; -79.897959; 592.818182; 151.571429; 392.812500;
-80.416667; -74.387755; 591.352941; 136.676471; 391.812500;
-80.416667; -68.877551; 590.545455; 135.212121; 388.294118;
-80.416667; -63.367347; 591.843750; 285.393939; 389.942857;
-80.416667; -57.857143; 592.457143; 403.031250; 387.515152;
-80.416667; -52.346939; 593.411765; 403.818182; 385.969697;
-80.416667; -46.836735; 591.250000; 401.428571; 384.181818;
-80.416667; -41.326531; 593.264706; 402.741935; 385.200000;
-80.416667; -35.816327; 592.472222; 398.281250; 381.406250;
-80.416667; -30.306122; 593.606061; 399.647059; 379.454545;
-80.416667; -24.795918; 593.470588; 400.970588; 381.375000;
-80.416667; -19.285714; 590.485714; 380.483871; 381.235294;
-80.416667; -13.775510; 588.852941; 358.875000; 375.470588;
-80.416667; -8.265306; 589.200000; 368.593750; 375.184211;
-80.416667; -2.755102; 586.242424; 371.114286; 379.031250;
-80.416667; 2.755102; 591.352941; 367.166667; 382.750000;
-80.416667; 8.265306; 588.393939; 363.272727; 384.147059;
-80.416667; 13.775510; 585.861111; 363.852941; 384.233333;
-80.416667; 19.285714; 585.088235; 361.000000; 390.485714;
-80.416667; 24.795918; 587.757576; 364.375000; 391.057143;
-80.416667; 30.306122; 586.812500; 212.764706; 394.294118;
-80.416667; 35.816327; 588.000000; 164.903226; 394.354839;
-80.416667; 41.326531; 589.387097; 362.676471; 401.714286;
-80.416667; 46.836735; 586.285714; 367.171429; 400.966667;
-80.416667; 52.346939; 590.406250; 366.388889; 400.968750;
-80.416667; 57.857143; 585.968750; 366.193548; 404.459459;
-80.416667; 63.367347; 587.764706; 220.352941; 408.968750;
-80.416667; 68.877551; 589.571429; 117.812500; 411.212121;
-80.416667; 74.387755; 587.393939; 135.343750; 413.314286;
-80.416667; 79.897959; 586.888889; 128.264706; 413.866667;
-80.416667; 85.408163; 587.628571; 129.064516; 414.117647;
-80.416667; 90.918367; 586.057143; 123.000000; 414.454545;
-80.416667; 96.428571; 587.294118; 116.878788; 413.757576;
-80.416667; 101.938776; 588.029412; 123.806452; 415.914286;
-80.416667; 107.448980; 587.000000; 128.578947; 416.687500;
-80.416667; 112.959184; 587.555556; 131.250000; 412.906250;
-80.416667; 118.469388; 589.606061; 117.343750; 413.828571;
-80.416667; 123.979592; 591.742857; 134.028571; 416.800000;
-80.416667; 129.489796; 589.718750; 125.939394; 413.028571;
-80.416667; 135.000000; 588.971429; 122.451613; 413.294118;
-75.625000; -135.000000; 589.300000; 129.394737; 412.468750;
-75.625000; -129.489796; 587.735294; 294.085714; 412.516129;
-75.625000; -123.979592; 590.676471; 124.870968; 412.514286;
-75.625000; -118.469388; 590.258065; 129.600000; 410.323529;
-75.625000; -112.959184; 587.111111; 193.794118; 408.566667;
-75.625000; -107.448980; 589.342857; 117.800000; 405.685714;
-75.625000; -101.938776; 588.794118; 125.228571; 405.064516;
-75.625000; -96.428571; 592.657143; 132.000000; 401.272727;
-75.625000; -90.918367; 588.093750; 127.212121; 401.857143;
-75.625000; -85.408163; 589.742857; 127.382353; 396.516129;
-75.625000; -79.897959; 591.375000; 130.257143; 398.545455;
-75.625000; -74.387755; 594.424242; 128.411765; 392.575758;
-75.625000; -68.877551; 591.352941; 279.029412; 388.781250;
-75.625000; -63.367347; 589.066667; 415.472222; 390.529412;
-75.625000; -57.857143; 593.058824; 415.531250; 383.500000;
-75.625000; -52.346939; 593.687500; 415.171429; 384.939394;
-75.625000; -46.836735; 593.606061; 411.810811; 378.200000;
-75.625000; -41.326531; 591.714286; 414.129032; 377.088235;
-75.625000; -35.816327; 593.090909; 414.088235; 373.363636;
-75.625000; -30.306122; 592.161290; 412.771429; 375.705882;
-75.625000; -24.795918; 592.342857; 407.060606; 369.781250;
-75.625000; -19.285714; 588.812500; 380.000000; 371.108108;
-75.625000; -13.775510; 585.000000; 347.242424; 369.942857;
-75.625000; -8.265306; 585.857143; 347.656250; 370.515152;
-75.625000; -2.755102; 585.133333; 352.771429; 374.542857;
-75.625000; 2.755102; 584.891892; 353.620690; 379.764706;
-75.625000; 8.265306; 585.156250; 355.696970; 377.571429;
-75.625000; 13.775510; 583.694444; 347.382353; 381.300000;
-75.625000; 19.285714; 585.000000; 201.909091; 389.764706;
-75.625000; 24.795918; 582.406250; 268.833333; 390.750000;
-75.625000; 30.306122; 583.971429; 349.375000; 395.303030;
-75.625000; 35.816327; 583.281250; 350.000000; 397.941176;
-75.625000; 41.326531; 585.812500; 147.257143; 401.818182;
-75.625000; 46.836735; 584.459459; 120.400000; 404.969697;
-75.625000; 52.346939; 583.343750; 114.864865; 411.354839;
-75.625000; 57.857143; 585.647059; 126.470588; 414.125000;
-75.625000; 63.367347; 583.484848; 121.129032; 418.916667;
-75.625000; 68.877551; 583.419355; 117.717949; 419.300000;
-75.625000; 74.387755; 586.212121; 129.970588; 419.909091;
-75.625000; 79.897959; 587.823529; 119.344828; 426.270270;
-75.625000; 85.408163; 584.500000; 122.000000; 424.257143;
-75.625000; 90.918367; 586.583333; 120.911765; 426.266667;
-75.625000; 96.428571; 583.258065; 148.441176; 427.371429;
-75.625000; 101.938776; 583.741935; 205.828571; 431.176471;
-75.625000; 107.448980; 588.060606; 292.142857; 432.125000;
-75.625000; 112.959184; 585.351351; 265.793103; 427.823529;
-75.625000; 118.469388; 586.031250; 351.352941; 429.088235;
-75.625000; 123.979592; 586.605263; 350.225806; 429.096774;
-75.625000; 129.489796; 586.750000; 239.228571; 431.272727;
-75.625000; 135.000000; 587.033333; 213.333333; 427.675676;
-70.833333; -135.000000; 587.314286; 316.562500; 427.939394;
-70.833333; -129.489796; 585.031250; 285.428571; 426.727273;
-70.833333; -123.979592; 586.000000; 354.657143; 423.685714;
-70.833333; -118.469388; 587.400000; 411.303030; 421.718750;
