longitude; latitude; avgY; stdY; avgX; stdX; avgZ; stdZ; 
0.555556; 0.555556; 626.890000; 62.172600; 703.600000; 28.357387; 1011.180000; 14.975657;
0.555556; 1.666667; 623.730000; 51.500486; 712.720000; 27.224499; 1010.720000; 14.865104;
0.555556; 2.777778; 628.440000; 72.729514; 721.470000; 25.675306; 1009.500000; 16.789547;
0.555556; 3.888889; 618.220000; 97.822100; 726.910000; 25.379581; 1010.240000; 15.689616;
0.555556; 5.000000; 628.550000; 66.296605; 732.720000; 23.524790; 1007.250000; 16.240848;
1.666667; -5.000000; 620.040000; 83.010152; 675.710000; 24.819874; 1007.840000; 16.551554;
1.666667; -3.888889; 623.750000; 96.733767; 679.580000; 25.707044; 1006.900000; 18.220036;
1.666667; -2.777778; 625.480000; 54.305808; 688.240000; 25.397097; 1007.170000; 17.178243;
1.666667; -1.666667; 625.210000; 100.696593; 696.270000; 25.620326; 1007.030000; 17.219589;
1.666667; -0.555556; 625.150000; 46.637951; 700.400000; 23.525615; 1008.100000; 17.313800;
1.666667; 0.555556; 627.620000; 53.166934; 701.380000; 24.415916; 1007.230000; 16.360123;
1.666667; 1.666667; 627.690000; 74.242667; 717.940000; 24.944310; 1005.520000; 17.405723;
1.666667; 2.777778; 633.120000; 62.281421; 717.670000; 25.158108; 1008.440000; 16.654129;
1.666667; 3.888889; 627.350000; 47.049807; 723.870000; 23.569221; 1007.790000; 16.936181;
1.666667; 5.000000; 627.200000; 94.377814; 737.660000; 22.240749; 1005.780000; 17.267111;
2.777778; -5.000000; 635.880000; 25.765955; 678.710000; 24.484295; 1005.220000; 18.853277;
2.777778; -3.888889; 636.800000; 76.700520; 682.430000; 25.062449; 1008.960000; 16.638716;
2.777778; -2.777778; 634.810000; 81.565453; 687.560000; 24.708940; 1006.390000; 18.131336;
2.777778; -1.666667; 631.060000; 25.129893; 697.600000; 25.902693; 1009.630000; 14.979889;
2.777778; -0.555556; 633.240000; 76.940502; 702.460000; 25.442913; 1007.540000; 15.899571;
2.777778; 0.555556; 635.440000; 72.562661; 706.930000; 28.122479; 1005.650000; 16.893831;
2.777778; 1.666667; 632.120000; 91.224142; 712.010000; 24.634908; 1008.410000; 17.162971;
